emp_id,emp_salary,emp_experience
1,50000,2
2,65000,5
3,70000,3
4,55000,1
5,60000,4
6,80000,6
7,90000,3
8,75000,2
9,55000,4
10,70000,5
11,60000,3
12,45000,1
13,85000,7
14,75000,4
15,70000,2
16,80000,3
17,55000,1
18,65000,4
19,60000,2
20,70000,3
21,55000,1
22,80000,4
23,65000,3
24,70000,2
25,60000,3
26,75000,4
27,80000,5
28,85000,6
29,50000,2
30,70000,4
31,55000,1
32,60000,3
33,65000,2
34,75000,4
35,70000,3
36,60000,2
37,55000,1
38,80000,4
39,75000,3
40,70000,2
41,55000,1
42,80000,3
43,65000,2
44,70000,4
45,60000,3
46,75000,2
47,80000,4
48,85000,5
49,70000,3
50,60000,2
